"","date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"1",2020-09-01,"WY","A",41,NA,4,NA,219,219,13,4,NA,NA,72701,270,NA,NA,105049,NA,NA,NA,3866,3282,24,0,NA,NA,NA,NA,3137,3206,NA,0,76567,294,NA,NA,NA,NA,75983,288,108187,588
"2",2020-09-01,"NE","A+",397,NA,5,NA,2006,2006,161,12,NA,NA,328788,1483,NA,NA,NA,NA,NA,NA,34287,34287,241,0,NA,NA,NA,NA,NA,26177,NA,0,363075,1724,NA,NA,NA,NA,363617,1739,NA,0
"3",2020-09-01,"ND","A",122,118,4,4,564,564,62,10,152,15,190418,473,8278,NA,NA,NA,NA,NA,12000,12000,184,0,338,NA,NA,NA,NA,9610,NA,0,202418,657,8616,NA,NA,NA,202418,657,473705,2494
"4",2020-09-01,"NC","A+",2741,2741,39,NA,NA,NA,946,0,NA,270,2126274,37415,NA,NA,NA,NA,NA,NA,169424,169424,2111,0,NA,NA,NA,NA,NA,145884,NA,0,2295698,39526,NA,NA,NA,NA,NA,0,2295698,39526
"5",2020-09-01,"MT","B",105,NA,1,NA,447,447,140,11,NA,NA,244787,1970,NA,NA,NA,NA,NA,NA,7509,7509,88,0,NA,NA,NA,NA,NA,5459,NA,0,252296,2058,NA,NA,NA,NA,NA,0,252296,2058
"6",2020-09-01,"NH","B",432,NA,0,NA,715,715,8,1,221,NA,203984,343,NA,NA,NA,NA,NA,NA,7297,7297,22,0,NA,NA,NA,NA,NA,6634,NA,0,211281,365,30385,NA,29761,NA,211281,365,329116,1021
"7",2020-09-01,"MP","C",2,2,0,NA,4,4,NA,0,NA,NA,13484,0,NA,NA,NA,NA,NA,NA,57,57,1,0,NA,NA,NA,NA,NA,29,NA,0,13541,1,NA,NA,NA,NA,13540,0,17626,0
"8",2020-09-01,"MO","A",1538,NA,8,NA,NA,NA,906,0,NA,NA,905489,7231,NA,66097,1206684,NA,110,NA,85755,85755,1058,0,NA,NA,2908,NA,96068,NA,NA,0,991244,8289,NA,NA,69005,NA,991244,8289,1305031,10904
"9",2020-09-01,"MN","A+",1872,1823,6,49,6520,6520,294,40,1849,136,1056567,4408,NA,NA,NA,NA,NA,NA,76355,76355,491,0,NA,NA,NA,NA,NA,68488,NA,0,1132922,4899,NA,NA,NA,NA,1132922,4899,1498919,9193
"10",2020-09-01,"MI","A+",6767,6495,14,272,NA,NA,629,0,NA,156,2675587,24181,NA,NA,2675587,NA,83,NA,113820,103186,795,0,NA,NA,NA,NA,145671,76151,NA,0,2789407,24976,258577,NA,NA,NA,NA,0,2821258,24996
"11",2020-09-01,"ME","A+",132,131,0,1,421,421,9,1,NA,5,264187,5778,9089,NA,262339,NA,1,NA,4548,4081,22,0,479,NA,NA,NA,5686,3945,NA,0,268735,5800,9581,NA,NA,NA,NA,0,268268,5799
"12",2020-09-01,"NJ","A+",15937,14170,0,1780,22667,22667,463,40,NA,84,2666758,800,NA,NA,NA,NA,33,NA,192290,192290,330,0,NA,NA,NA,NA,NA,33949,NA,0,2859048,1130,NA,NA,NA,NA,NA,0,2857918,0
"13",2020-09-01,"MD","A+",3761,3617,6,144,14337,14337,385,34,NA,112,1230054,7450,NA,NA,NA,NA,NA,NA,108863,108863,614,0,NA,NA,NA,NA,129682,6976,NA,0,1338917,8064,NA,NA,NA,NA,1338917,8064,1952501,13655
"14",2020-09-01,"NM","B",779,NA,9,NA,3134,3134,65,8,NA,NA,735522,3872,NA,NA,NA,NA,NA,NA,25352,25352,69,0,NA,NA,NA,NA,NA,12960,NA,0,760874,3941,NA,NA,NA,NA,760874,3941,NA,0
"15",2020-09-01,"MA","A+",9064,8831,4,232,12386,12386,320,22,NA,55,1635284,21300,NA,NA,NA,NA,29,NA,128888,119138,355,0,NA,NA,NA,NA,NA,103920,NA,0,1764172,21655,NA,NA,112996,87251,1754422,21654,2448341,43915
"16",2020-09-01,"NV","A+",1313,NA,8,NA,NA,NA,643,0,NA,193,530716,2023,NA,NA,NA,NA,119,NA,69633,69633,405,0,NA,NA,NA,NA,NA,1798,NA,0,600349,2428,NA,NA,NA,NA,599812,2304,859175,4390
"17",2020-09-01,"LA","A",4984,4821,34,163,NA,NA,910,0,NA,NA,1740943,16347,NA,NA,NA,NA,128,NA,148882,148882,689,0,NA,NA,NA,NA,NA,127918,NA,0,1889825,17036,NA,NA,NA,NA,1889825,17036,NA,0
"18",2020-09-01,"NY","A",25331,NA,3,NA,89995,89995,432,0,NA,109,7904520,76243,NA,NA,NA,NA,54,NA,435510,435510,754,0,NA,NA,NA,NA,NA,75142,8340030,76997,8340030,76997,NA,NA,NA,NA,NA,0,NA,0
"19",2020-09-01,"KY","B",948,939,15,9,4616,4616,552,36,1391,138,781236,8312,NA,NA,NA,NA,NA,NA,49185,44824,789,0,NA,NA,NA,NA,NA,10417,NA,0,830421,9101,46878,14609,NA,NA,NA,0,826060,8924
"20",2020-09-01,"OH","A+",4165,3879,27,286,13479,13479,777,103,2975,241,2145059,24112,NA,NA,NA,NA,127,NA,124610,118048,1453,0,NA,NA,NA,NA,NA,104024,NA,0,2269669,25565,NA,NA,NA,NA,NA,0,2263107,25494
"21",2020-09-01,"KS","A+",446,NA,0,NA,2304,2304,211,0,628,55,370637,0,NA,NA,NA,209,21,NA,42612,NA,0,0,NA,NA,NA,NA,NA,1673,NA,0,413249,0,NA,NA,NA,NA,413249,0,NA,0
"22",2020-09-01,"OK","A+",809,NA,9,NA,4903,4903,535,82,NA,207,827513,20968,65958,NA,827513,NA,NA,2776,59399,59399,666,0,3006,NA,NA,NA,69077,49989,NA,0,886912,21634,68964,NA,NA,NA,NA,0,898288,23612
"23",2020-09-01,"IN","A+",3312,3093,16,219,11094,11094,848,51,2230,239,988874,6123,NA,NA,NA,NA,74,NA,94891,NA,695,0,NA,NA,NA,NA,NA,72391,NA,0,1083765,6818,NA,NA,NA,NA,1083765,6818,1442887,11519
"24",2020-09-01,"OR","A+",465,NA,6,NA,2162,2162,132,13,NA,49,534854,4339,NA,NA,534854,NA,25,NA,26946,25639,233,0,NA,NA,NA,NA,NA,4938,NA,0,561800,4572,NA,NA,NA,NA,560493,4575,NA,0
"25",2020-09-01,"IL","A",8273,8064,38,209,NA,NA,1513,0,NA,362,3850607,21469,NA,NA,NA,NA,146,NA,238217,236515,1492,0,NA,NA,NA,NA,NA,NA,NA,0,4088824,22961,NA,NA,NA,NA,NA,0,4087122,22961
"26",2020-09-01,"PA","A+",7691,NA,18,NA,NA,NA,528,0,NA,NA,1539969,15774,NA,NA,NA,NA,73,NA,134795,130961,770,0,NA,NA,NA,NA,NA,109183,NA,0,1674764,16544,NA,NA,NA,NA,NA,0,1670930,16524
"27",2020-09-01,"ID","A+",361,327,2,34,1394,1394,162,25,379,46,225601,1455,NA,NA,NA,NA,NA,NA,32088,29747,221,0,NA,NA,NA,NA,NA,14963,NA,0,257689,1676,NA,NA,NA,NA,NA,0,255348,1646
"28",2020-09-01,"PR","B",435,288,1,147,NA,NA,392,0,NA,71,305972,0,NA,NA,303412,NA,51,NA,33421,15584,222,0,17837,NA,NA,NA,7002,NA,NA,0,339393,222,NA,NA,NA,NA,NA,0,310546,0
"29",2020-09-01,"IA","A+",1123,NA,7,NA,NA,NA,311,0,NA,88,559628,2084,NA,46304,NA,NA,43,NA,63919,63919,591,0,NA,NA,3071,1558,NA,47437,NA,0,623547,2675,NA,NA,49415,12398,625058,2686,NA,0
"30",2020-09-01,"RI","A+",1050,NA,2,NA,2528,2528,81,9,NA,8,254480,2532,NA,NA,499207,NA,5,NA,22002,22002,53,0,NA,NA,NA,NA,31281,2113,530488,6074,530488,6074,NA,NA,NA,NA,276482,2585,NA,0
"31",2020-09-01,"HI","C",70,NA,7,NA,508,508,297,3,NA,57,189710,1330,NA,NA,NA,NA,42,NA,8472,NA,133,0,NA,NA,NA,NA,NA,2578,NA,0,198182,1463,NA,NA,NA,NA,198182,1463,263187,2450
"32",2020-09-01,"SC","A+",2757,2626,37,131,7870,7870,894,59,NA,232,834556,4000,58050,NA,798764,NA,141,NA,119846,118116,854,0,5281,NA,NA,NA,153908,51431,NA,0,954402,4854,63331,NA,NA,NA,NA,0,952672,4783
"33",2020-09-01,"GU","A+",13,NA,3,NA,NA,NA,43,0,NA,4,36875,386,156,NA,NA,NA,NA,NA,1447,1439,52,0,2,NA,NA,NA,NA,568,NA,0,38322,438,158,NA,NA,NA,38314,438,38312,438
"34",2020-09-01,"SD","A+",167,NA,0,NA,1036,1036,78,7,NA,NA,133846,826,NA,NA,NA,NA,NA,NA,13749,NA,240,0,NA,NA,NA,NA,NA,10832,NA,0,147595,1066,NA,NA,NA,NA,147595,1066,194109,1677
"35",2020-09-01,"GA","A+",5733,NA,101,NA,24847,24847,2488,243,4537,NA,2095801,22638,NA,NA,2119000,NA,NA,NA,272697,272697,2226,0,21400,NA,NA,NA,249498,NA,NA,0,2368498,24864,278431,NA,NA,NA,NA,0,2368498,24864
"36",2020-09-01,"TN","A+",1781,1729,27,52,6978,6978,1037,100,NA,348,2061422,15356,NA,NA,2028999,NA,164,NA,156329,152527,1396,0,NA,NA,NA,NA,184950,118885,NA,0,2217751,16752,NA,NA,NA,NA,NA,0,2213949,16633
"37",2020-09-01,"FL","A+",11521,11521,190,NA,39311,39311,3623,369,NA,NA,4044826,52758,411877,403867,5579764,NA,NA,3459,631040,631040,7569,0,34738,NA,34017,9157,812402,NA,NA,0,4675866,60327,446669,NA,437913,NA,4682883,60331,6428982,99401
"38",2020-09-01,"TX","A+",12681,NA,145,NA,NA,NA,4144,0,NA,1525,4416221,67637,329434,NA,NA,NA,NA,NA,617333,617333,4364,0,30159,3529,NA,NA,NA,514861,NA,0,5033554,72001,359593,25577,NA,NA,NA,0,5033554,72001
"39",2020-09-01,"DE","A+",605,533,0,72,NA,NA,64,0,NA,11,220888,1468,NA,NA,NA,NA,NA,NA,17535,16537,106,0,NA,NA,NA,NA,NA,9419,NA,0,238423,1574,NA,NA,NA,NA,238423,1574,NA,0
"40",2020-09-01,"UT","A+",409,NA,2,NA,3110,3110,145,17,780,44,612118,4370,NA,NA,NA,322,NA,NA,52403,52403,296,0,NA,NA,NA,NA,NA,44338,NA,0,664521,4666,NA,NA,NA,NA,664521,4666,823155,6279
